county_name,year,county_per_poverty,median_household_income,county_per_bach
ALBANY,2009,0.11835114851797104,55350,0.190368191457453
ALBANY,2010,0.11940519419008526,56090,0.19718856324240436
ALBANY,2011,0.1207243129784805,57715,0.1989825768769275
ALBANY,2012,0.12375250811957532,59359,0.19755044931420462
ALBANY,2013,0.12297275606903849,59394,0.2045351763734319
ALBANY,2014,0.12861781500307065,59940,0.20119978596289698
ALBANY,2015,0.1279796268168853,59887,0.20136846645492687
ALBANY,2016,0.12260507777102936,60904,0.20611461596152997
ALLEGANY,2009,0.1521532262962888,40917,0.09468291241091661
ALLEGANY,2010,0.14919051013135118,41305,0.09019851522386108
ALLEGANY,2011,0.14839460309036354,41900,0.08712903754713887
ALLEGANY,2012,0.15289636955586952,42095,0.09225430498264912
ALLEGANY,2013,0.14745567485293512,42445,0.09361813483366589
ALLEGANY,2014,0.15245830491660983,42726,0.09504335023719941
ALLEGANY,2015,0.15154982317453713,42776,0.0983381313792201
ALLEGANY,2016,0.15270440251572326,44085,0.10131695622187921
BRONX,2009,0.2710533039842088,33794,0.11091250630984004
BRONX,2010,0.2758095517033078,34264,0.11158451873729924
BRONX,2011,0.27730317264819476,34744,0.11341209845482846
BRONX,2012,0.28551808904443565,34300,0.11693928724854778
BRONX,2013,0.2901743701312875,34388,0.11710720292352733
BRONX,2014,0.2968237775951034,34284,0.11794294302816749
BRONX,2015,0.29934673194446487,34299,0.12327674514986355
BRONX,2016,0.2976889374541076,35302,0.12513381745145286
BROOME,2009,0.14278030213770881,43467,0.14127255921082538
BROOME,2010,0.14714846317802435,44457,0.13635513948810743
BROOME,2011,0.15398507343550447,45619,0.13799414348462666
BROOME,2012,0.15658136929294547,45856,0.1401967516570132
BROOME,2013,0.16521992192596013,45958,0.14427639606525766
BROOME,2014,0.16864942629918964,46368,0.144695483568004
BROOME,2015,0.16969302297405764,46261,0.14988306454684655
BROOME,2016,0.16528439920762383,47744,0.1538567609183603
CATTARAUGUS,2009,0.15065526640032856,41482,0.09627802775006118
CATTARAUGUS,2010,0.15332524512231355,42466,0.09677539817390818
CATTARAUGUS,2011,0.16090111583289843,42754,0.09342431530473368
CATTARAUGUS,2012,0.16603048674001447,43202,0.09044973150357995
CATTARAUGUS,2013,0.1735875086223114,42603,0.09247961791757617
CATTARAUGUS,2014,0.17126591684824363,43503,0.10233175142931879
CATTARAUGUS,2015,0.17671791494642994,42601,0.10303699820251648
CATTARAUGUS,2016,0.16896797696991311,43884,0.1037890030620104
CAYUGA,2009,0.11487111533365002,47414,0.11163665583111143
CAYUGA,2010,0.11305342467456578,48415,0.11164504823499656
CAYUGA,2011,0.11637823549947633,50140,0.11164386021621234
CAYUGA,2012,0.11521826091304566,50950,0.11000556762872897
CAYUGA,2013,0.12011232715283263,51581,0.11863950462173561
CAYUGA,2014,0.11776399391049433,51792,0.11843310523196293
CAYUGA,2015,0.11380142220201331,52082,0.12546543629593654
CAYUGA,2016,0.10781513778353198,53114,0.12778901003682577
CHAUTAUQUA,2009,0.15508882889064574,40179,0.11028149198506686
CHAUTAUQUA,2010,0.1634149767490001,40639,0.11419389275626626
CHAUTAUQUA,2011,0.16899968893036485,41432,0.11513223747136152
CHAUTAUQUA,2012,0.18231933372461906,41975,0.11388719088635732
CHAUTAUQUA,2013,0.18178836578311816,42429,0.11382456295934995
CHAUTAUQUA,2014,0.1849935607535416,42720,0.11476844670950587
CHAUTAUQUA,2015,0.1801335886494881,42993,0.11326269638290098
CHAUTAUQUA,2016,0.1852779548835656,43211,0.11325982157699341
CHEMUNG,2009,0.1472873492814283,42420,0.11463545689626221
CHEMUNG,2010,0.14262524236821933,44502,0.11590153907192806
CHEMUNG,2011,0.154207661358488,46589,0.11634970945589013
CHEMUNG,2012,0.14982146678831706,48128,0.11555730991266591
CHEMUNG,2013,0.14657500337548945,48804,0.11716737493231824
CHEMUNG,2014,0.14991937393579233,49685,0.12639808169231528
CHEMUNG,2015,0.14777889811594366,50320,0.12752539805377636
CHEMUNG,2016,0.1502017277928472,49578,0.13315887974295698
CHENANGO,2009,0.12222309443441401,43991,0.10109321058688148
CHENANGO,2010,0.1333921050053874,43943,0.10226981459858173
CHENANGO,2011,0.1364495550129952,44662,0.10499487413145005
CHENANGO,2012,0.1436918201624084,44127,0.09701704545454545
CHENANGO,2013,0.15275034416711558,43941,0.09564375053420325
CHENANGO,2014,0.16192748856982433,44427,0.09844352420391261
CHENANGO,2015,0.1562291872691679,45668,0.0949367088607595
CHENANGO,2016,0.15152375928255488,46979,0.09283575213084543
CLINTON,2009,0.11913644425417405,47786,0.13188605847659682
CLINTON,2010,0.12124302015052198,47489,0.12231479804383263
CLINTON,2011,0.12473105208776515,49260,0.11951968219573854
CLINTON,2012,0.12874448533892316,50522,0.12332202655889145
CLINTON,2013,0.13091064557503207,50282,0.1216501162434444
CLINTON,2014,0.1377017927629569,50985,0.1206471022717037
CLINTON,2015,0.14890126706249618,49930,0.1191702328280264
CLINTON,2016,0.14557389117232072,50502,0.11626854048571998
COLUMBIA,2009,0.08770914701769612,54573,0.14959323728582466
COLUMBIA,2010,0.08907196280893724,55546,0.15316374281975648
COLUMBIA,2011,0.08949329950043612,56185,0.15279313547702242
COLUMBIA,2012,0.09432101906776291,56445,0.1466065747613998
COLUMBIA,2013,0.09431343140696301,57336,0.14595547718756888
